Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1872,9,90,4,30,98.0
DCA,1873,9,90,2,30,92.0
DCA,1874,9,90,3,30,94.0
DCA,1875,9,90,1,30,93.0
DCA,1876,9,90,0,30,89.0
DCA,1877,9,90,0,30,87.0
DCA,1878,9,90,1,30,91.0
DCA,1879,9,90,0,30,88.0
DCA,1880,9,90,4,30,94.0
DCA,1881,9,90,12,30,104.0
DCA,1882,9,90,3,30,92.0
DCA,1883,9,90,0,30,87.0
DCA,1884,9,90,7,30,97.0
DCA,1885,9,90,1,30,91.0
DCA,1886,9,90,1,30,91.0
DCA,1887,9,90,1,30,90.0
DCA,1888,9,90,0,30,84.0
DCA,1889,9,90,0,30,86.0
DCA,1890,9,90,0,30,87.0
DCA,1891,9,90,1,30,90.0
DCA,1892,9,90,0,30,88.0
DCA,1893,9,90,0,30,88.0
DCA,1894,9,90,4,30,95.0
DCA,1895,9,90,8,30,98.0
DCA,1896,9,90,4,30,94.0
DCA,1897,9,90,5,30,97.0
DCA,1898,9,90,6,30,95.0
DCA,1899,9,90,2,30,94.0
DCA,1900,9,90,10,30,97.0
DCA,1901,9,90,1,30,92.0
DCA,1902,9,90,1,30,91.0
DCA,1903,9,90,0,30,88.0
DCA,1904,9,90,2,30,90.0
DCA,1905,9,90,0,30,88.0
DCA,1906,9,90,5,30,94.0
DCA,1907,9,90,1,30,91.0
DCA,1908,9,90,0,30,86.0
DCA,1909,9,90,0,30,84.0
DCA,1910,9,90,2,30,94.0
DCA,1911,9,90,0,30,89.0
DCA,1912,9,90,5,30,94.0
DCA,1913,9,90,2,30,93.0
DCA,1914,9,90,5,30,96.0
DCA,1915,9,90,7,30,94.0
DCA,1916,9,90,3,30,93.0
DCA,1917,9,90,0,30,87.0
DCA,1918,9,90,0,30,87.0
DCA,1919,9,90,3,30,94.0
DCA,1920,9,90,0,30,89.0
DCA,1921,9,90,5,30,95.0
DCA,1922,9,90,2,30,92.0
DCA,1923,9,90,0,30,87.0
DCA,1924,9,90,2,30,94.0
DCA,1925,9,90,6,30,94.0
DCA,1926,9,90,3,30,91.0
DCA,1927,9,90,2,30,97.0
DCA,1928,9,90,0,30,89.0
DCA,1929,9,90,7,30,97.0
DCA,1930,9,90,13,30,98.0
DCA,1931,9,90,11,30,97.0
DCA,1932,9,90,5,30,98.0
DCA,1933,9,90,3,30,94.0
DCA,1934,9,90,0,30,87.0
DCA,1935,9,90,0,30,89.0
DCA,1936,9,90,4,30,93.0
DCA,1937,9,90,4,30,94.0
DCA,1938,9,90,1,30,90.0
DCA,1939,9,90,1,30,100.0
DCA,1940,9,90,1,30,92.0
DCA,1941,9,90,7,30,96.0
DCA,1942,9,90,5,30,91.0
DCA,1943,9,90,3,30,97.0
DCA,1944,9,90,5,30,92.0
DCA,1945,9,90,2,30,91.0
DCA,1946,9,90,1,30,93.0
DCA,1947,9,90,2,30,94.0
DCA,1948,9,90,3,30,90.0
DCA,1949,9,90,0,30,88.0
DCA,1950,9,90,1,30,90.0
DCA,1951,9,90,2,30,90.0
DCA,1952,9,90,4,30,93.0
DCA,1953,9,90,5,30,100.0
DCA,1954,9,90,6,30,99.0
DCA,1955,9,90,0,30,87.0
DCA,1956,9,90,1,30,93.0
DCA,1957,9,90,3,30,94.0
DCA,1958,9,90,2,30,93.0
DCA,1959,9,90,4,30,92.0
DCA,1960,9,90,2,30,92.0
DCA,1961,9,90,11,30,95.0
DCA,1962,9,90,2,30,94.0
DCA,1963,9,90,1,30,92.0
DCA,1964,9,90,5,30,94.0
DCA,1965,9,90,5,30,92.0
DCA,1966,9,90,4,30,94.0
DCA,1967,9,90,0,30,87.0
DCA,1968,9,90,4,30,92.0
DCA,1969,9,90,2,30,91.0
DCA,1970,9,90,11,30,96.0
DCA,1971,9,90,3,30,90.0
DCA,1972,9,90,2,30,91.0
DCA,1973,9,90,6,30,96.0
DCA,1974,9,90,4,30,91.0
DCA,1975,9,90,0,30,86.0
DCA,1976,9,90,3,30,93.0
DCA,1977,9,90,4,30,94.0
DCA,1978,9,90,4,30,94.0
DCA,1979,9,90,0,30,87.0
DCA,1980,9,90,14,30,101.0
DCA,1981,9,90,4,30,94.0
DCA,1982,9,90,1,30,91.0
DCA,1983,9,90,9,30,98.0
DCA,1984,9,90,1,30,93.0
DCA,1985,9,90,8,30,96.0
DCA,1986,9,90,2,30,93.0
DCA,1987,9,90,0,30,87.0
DCA,1988,9,90,2,30,91.0
DCA,1989,9,90,2,30,96.0
DCA,1990,9,90,2,30,93.0
DCA,1991,9,90,3,30,96.0
DCA,1992,9,90,0,30,88.0
DCA,1993,9,90,4,30,96.0
DCA,1994,9,90,1,30,91.0
DCA,1995,9,90,7,30,95.0
DCA,1996,9,90,1,30,90.0
DCA,1997,9,90,3,30,91.0
DCA,1998,9,90,10,30,95.0
DCA,1999,9,90,0,30,86.0
DCA,2000,9,90,0,30,88.0
DCA,2001,9,90,0,30,87.0
DCA,2002,9,90,3,30,92.0
DCA,2003,9,90,0,30,85.0
DCA,2004,9,90,0,30,87.0
DCA,2005,9,90,7,30,93.0
DCA,2006,9,90,0,30,85.0
DCA,2007,9,90,4,30,91.0
DCA,2008,9,90,6,30,95.0
DCA,2009,9,90,0,30,87.0
DCA,2010,9,90,10,30,99.0
DCA,2011,9,90,0,30,87.0
DCA,2012,9,90,3,30,95.0
DCA,2013,9,90,6,30,94.0
DCA,2014,9,90,6,30,95.0
DCA,2015,9,90,7,30,96.0
DCA,2016,9,90,7,30,98.0
DCA,2017,9,90,3,30,92.0
DCA,2018,9,90,5,30,95.0
DCA,2019,9,90,9,30,98.0
DCA,2020,9,90,2,30,91.0
DCA,2021,9,90,2,30,90.0
DCA,2022,9,90,2,30,91.0
DCA,2023,9,90,6,30,99.0
DCA,2024,9,90,0,30,87.0
DCA,2025,9,90,2,30,93.0
