Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-03-01,36.2,71,6,1872,3
1873-03-01,41.6,70,4,1873,3
1874-03-01,44.3,75,20,1874,3
1875-03-01,39.2,68,20,1875,3
1876-03-01,39.7,70,12,1876,3
1877-03-01,41.2,70,13,1877,3
1878-03-01,49.6,73,22,1878,3
1879-03-01,44.0,75,21,1879,3
1880-03-01,41.9,79,20,1880,3
1881-03-01,40.4,65,25,1881,3
1882-03-01,44.5,71,23,1882,3
1883-03-01,38.4,70,14,1883,3
1884-03-01,42.3,67,13,1884,3
1885-03-01,34.9,70,10,1885,3
1886-03-01,42.4,69,13,1886,3
1887-03-01,38.8,65,21,1887,3
1888-03-01,38.1,76,10,1888,3
1889-03-01,43.4,70,29,1889,3
1890-03-01,41.5,77,13,1890,3
1891-03-01,38.6,60,17,1891,3
1892-03-01,37.7,66,17,1892,3
1893-03-01,41.1,64,17,1893,3
1894-03-01,48.6,83,20,1894,3
1895-03-01,41.8,74,22,1895,3
1896-03-01,38.5,70,14,1896,3
1897-03-01,46.0,82,26,1897,3
1898-03-01,48.8,78,25,1898,3
1899-03-01,42.2,72,19,1899,3
1900-03-01,38.8,68,11,1900,3
1901-03-01,45.1,75,11,1901,3
1902-03-01,46.7,78,18,1902,3
1903-03-01,50.0,74,25,1903,3
1904-03-01,42.2,73,20,1904,3
1905-03-01,45.0,80,14,1905,3
1906-03-01,37.6,62,18,1906,3
1907-03-01,48.8,93,22,1907,3
1908-03-01,47.4,80,25,1908,3
1909-03-01,42.1,75,26,1909,3
1910-03-01,51.1,86,26,1910,3
1911-03-01,41.0,75,14,1911,3
1912-03-01,40.9,76,18,1912,3
1913-03-01,49.0,77,17,1913,3
1914-03-01,39.4,75,15,1914,3
1915-03-01,38.8,62,23,1915,3
1916-03-01,37.9,71,14,1916,3
1917-03-01,43.4,82,23,1917,3
1918-03-01,48.4,79,23,1918,3
1919-03-01,46.4,76,29,1919,3
1920-03-01,45.5,77,17,1920,3
1921-03-01,55.5,89,26,1921,3
1922-03-01,45.3,78,23,1922,3
1923-03-01,45.3,80,18,1923,3
1924-03-01,42.6,76,26,1924,3
1925-03-01,46.4,77,11,1925,3
1926-03-01,40.1,76,17,1926,3
1927-03-01,47.6,80,21,1927,3
1928-03-01,44.1,80,23,1928,3
1929-03-01,50.3,84,15,1929,3
1930-03-01,45.0,75,21,1930,3
1931-03-01,41.3,60,26,1931,3
1932-03-01,40.1,71,14,1932,3
1933-03-01,43.0,74,20,1933,3
1934-03-01,41.2,78,16,1934,3
1935-03-01,50.2,80,25,1935,3
1936-03-01,50.3,76,26,1936,3
1937-03-01,42.1,70,19,1937,3
1938-03-01,49.8,85,20,1938,3
1939-03-01,46.4,85,23,1939,3
1940-03-01,40.7,70,19,1940,3
1941-03-01,39.8,68,15,1941,3
1942-03-01,47.3,76,30,1942,3
1943-03-01,45.4,82,11,1943,3
1944-03-01,43.0,81,21,1944,3
1945-03-01,56.2,89,32,1945,3
1946-03-01,53.1,80,30,1946,3
1947-03-01,40.0,70,24,1947,3
1948-03-01,48.0,86,18,1948,3
1949-03-01,46.7,83,23,1949,3
1950-03-01,41.7,79,15,1950,3
1951-03-01,45.5,71,27,1951,3
1952-03-01,43.3,83,25,1952,3
1953-03-01,47.5,70,22,1953,3
1954-03-01,44.5,75,24,1954,3
1955-03-01,47.1,79,23,1955,3
1956-03-01,43.2,73,24,1956,3
1957-03-01,45.8,73,28,1957,3
1958-03-01,41.4,58,31,1958,3
1959-03-01,45.4,79,27,1959,3
1960-03-01,35.6,80,15,1960,3
1961-03-01,47.6,81,24,1961,3
1962-03-01,44.2,79,16,1962,3
1963-03-01,48.5,86,27,1963,3
1964-03-01,47.5,80,23,1964,3
1965-03-01,41.4,73,19,1965,3
1966-03-01,47.5,82,24,1966,3
1967-03-01,44.9,78,18,1967,3
1968-03-01,49.6,85,19,1968,3
1969-03-01,43.0,70,20,1969,3
1970-03-01,41.8,71,23,1970,3
1971-03-01,43.2,73,26,1971,3
1972-03-01,45.5,77,24,1972,3
1973-03-01,51.1,73,31,1973,3
1974-03-01,49.1,80,25,1974,3
1975-03-01,45.2,67,21,1975,3
1976-03-01,51.3,83,24,1976,3
1977-03-01,52.6,82,29,1977,3
1978-03-01,44.3,79,16,1978,3
1979-03-01,51.5,85,25,1979,3
1980-03-01,46.2,73,14,1980,3
1981-03-01,47.6,85,28,1981,3
1982-03-01,45.6,70,23,1982,3
1983-03-01,48.7,82,29,1983,3
1984-03-01,41.8,69,20,1984,3
1985-03-01,47.7,81,24,1985,3
1986-03-01,47.4,84,14,1986,3
1987-03-01,47.7,75,24,1987,3
1988-03-01,47.2,77,25,1988,3
1989-03-01,46.1,85,20,1989,3
1990-03-01,50.2,89,22,1990,3
1991-03-01,48.8,79,28,1991,3
1992-03-01,45.0,73,21,1992,3
1993-03-01,42.2,69,15,1993,3
1994-03-01,45.4,83,24,1994,3
1995-03-01,49.2,78,22,1995,3
1996-03-01,42.9,73,17,1996,3
1997-03-01,48.7,77,31,1997,3
1998-03-01,46.9,87,20,1998,3
1999-03-01,44.5,76,20,1999,3
2000-03-01,51.7,85,27,2000,3
2001-03-01,43.7,66,25,2001,3
2002-03-01,47.6,80,19,2002,3
2003-03-01,47.1,76,20,2003,3
2004-03-01,48.8,77,26,2004,3
2005-03-01,43.0,70,20,2005,3
2006-03-01,47.8,85,28,2006,3
2007-03-01,47.7,83,20,2007,3
2008-03-01,49.0,74,29,2008,3
2009-03-01,45.2,76,14,2009,3
2010-03-01,51.2,76,33,2010,3
2011-03-01,45.6,80,27,2011,3
2012-03-01,56.8,83,29,2012,3
2013-03-01,43.8,63,28,2013,3
2014-03-01,42.8,73,14,2014,3
2015-03-01,45.3,77,15,2015,3
2016-03-01,53.5,79,29,2016,3
2017-03-01,47.2,80,22,2017,3
2018-03-01,43.6,78,31,2018,3
2019-03-01,46.8,79,22,2019,3
2020-03-01,53.2,83,26,2020,3
2021-03-01,51.2,84,28,2021,3
2022-03-01,50.4,80,21,2022,3
2023-03-01,49.1,84,29,2023,3
2024-03-01,51.9,77,32,2024,3
2025-03-01,54.3,86,23,2025,3
2026-03-01,50.6,86,27,2026,3
