Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-09-01,69.3,98,48,1872,9
1873-09-01,68.3,92,44,1873,9
1874-09-01,70.1,94,50,1874,9
1875-09-01,64.6,93,40,1875,9
1876-09-01,65.4,89,46,1876,9
1877-09-01,67.5,87,44,1877,9
1878-09-01,69.1,91,48,1878,9
1879-09-01,64.6,88,38,1879,9
1880-09-01,68.6,94,46,1880,9
1881-09-01,78.2,104,60,1881,9
1882-09-01,69.5,92,44,1882,9
1883-09-01,65.5,87,44,1883,9
1884-09-01,72.4,97,45,1884,9
1885-09-01,66.6,91,44,1885,9
1886-09-01,69.3,91,47,1886,9
1887-09-01,65.6,90,40,1887,9
1888-09-01,64.7,84,39,1888,9
1889-09-01,65.6,86,42,1889,9
1890-09-01,67.7,87,44,1890,9
1891-09-01,70.3,90,49,1891,9
1892-09-01,66.1,88,48,1892,9
1893-09-01,66.0,88,42,1893,9
1894-09-01,71.4,95,47,1894,9
1895-09-01,72.4,98,45,1895,9
1896-09-01,67.8,94,42,1896,9
1897-09-01,68.2,97,42,1897,9
1898-09-01,71.0,95,48,1898,9
1899-09-01,65.9,94,41,1899,9
1900-09-01,73.7,97,45,1900,9
1901-09-01,67.4,92,43,1901,9
1902-09-01,66.8,91,43,1902,9
1903-09-01,67.2,88,42,1903,9
1904-09-01,67.4,90,36,1904,9
1905-09-01,68.2,88,41,1905,9
1906-09-01,72.9,94,50,1906,9
1907-09-01,69.4,91,43,1907,9
1908-09-01,66.6,86,41,1908,9
1909-09-01,66.4,84,42,1909,9
1910-09-01,71.0,94,48,1910,9
1911-09-01,70.3,89,46,1911,9
1912-09-01,70.4,94,42,1912,9
1913-09-01,67.4,93,40,1913,9
1914-09-01,66.0,96,41,1914,9
1915-09-01,70.9,94,43,1915,9
1916-09-01,66.6,93,41,1916,9
1917-09-01,63.9,87,40,1917,9
1918-09-01,64.3,87,42,1918,9
1919-09-01,69.4,94,46,1919,9
1920-09-01,68.8,89,45,1920,9
1921-09-01,74.4,95,55,1921,9
1922-09-01,69.9,92,46,1922,9
1923-09-01,69.7,87,44,1923,9
1924-09-01,64.3,94,43,1924,9
1925-09-01,72.8,94,46,1925,9
1926-09-01,69.0,91,50,1926,9
1927-09-01,70.1,97,44,1927,9
1928-09-01,64.9,89,41,1928,9
1929-09-01,70.2,97,44,1929,9
1930-09-01,76.1,98,52,1930,9
1931-09-01,74.1,97,49,1931,9
