year,orange,red,purple,maroon
2000,7,0,0,0
2001,11,5,0,0
2002,8,9,4,0
2003,8,3,0,0
2004,5,2,0,0
2005,5,8,0,0
2006,8,8,0,0
2007,15,3,1,0
2008,6,0,0,0
2009,4,0,0,0
2010,7,6,0,0
2011,4,1,0,0
2012,8,0,0,0
2013,1,0,0,0
2014,4,0,0,0
2015,3,0,0,0
2016,1,0,0,0
2017,0,0,0,0
2018,1,0,0,0
2019,3,0,0,0
2020,0,0,0,0
2021,2,0,0,0
2022,0,0,0,0
2023,0,0,0,0
2024,3,0,0,0
2025,0,0,0,0
