Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-01-01,31.7,56,3,1872,1
1873-01-01,32.2,64,-6,1873,1
1874-01-01,39.4,71,9,1874,1
1875-01-01,28.5,52,-3,1875,1
1876-01-01,40.4,71,16,1876,1
1877-01-01,29.7,61,-3,1877,1
1878-01-01,33.3,60,0,1878,1
1879-01-01,30.5,66,0,1879,1
1880-01-01,41.8,66,14,1880,1
1881-01-01,26.8,44,-14,1881,1
1882-01-01,33.3,58,8,1882,1
1883-01-01,29.5,51,9,1883,1
1884-01-01,29.9,52,2,1884,1
1885-01-01,33.8,66,10,1885,1
1886-01-01,29.4,60,-1,1886,1
1887-01-01,32.4,67,6,1887,1
1888-01-01,30.2,54,9,1888,1
1889-01-01,39.2,66,23,1889,1
1890-01-01,43.8,76,19,1890,1
1891-01-01,37.3,60,21,1891,1
1892-01-01,31.6,62,4,1892,1
1893-01-01,24.6,57,-6,1893,1
1894-01-01,37.7,58,17,1894,1
1895-01-01,31.7,62,4,1895,1
1896-01-01,33.3,59,8,1896,1
1897-01-01,31.0,64,8,1897,1
1898-01-01,36.7,63,17,1898,1
1899-01-01,33.4,60,-1,1899,1
1900-01-01,35.2,64,8,1900,1
1901-01-01,34.4,66,13,1901,1
1902-01-01,31.8,51,14,1902,1
1903-01-01,33.5,58,11,1903,1
1904-01-01,27.5,62,3,1904,1
1905-01-01,29.8,65,-2,1905,1
1906-01-01,40.0,71,11,1906,1
1907-01-01,37.2,76,10,1907,1
1908-01-01,34.3,58,11,1908,1
1909-01-01,36.0,61,13,1909,1
1910-01-01,33.7,58,11,1910,1
1911-01-01,38.3,68,15,1911,1
1912-01-01,25.0,58,-13,1912,1
1913-01-01,43.7,68,24,1913,1
1914-01-01,38.6,72,7,1914,1
1915-01-01,35.7,63,18,1915,1
1916-01-01,39.9,71,8,1916,1
1917-01-01,35.0,59,14,1917,1
1918-01-01,23.7,50,1,1918,1
1919-01-01,38.1,64,11,1919,1
1920-01-01,28.7,59,9,1920,1
1921-01-01,36.6,67,11,1921,1
1922-01-01,31.9,62,11,1922,1
1923-01-01,36.8,65,19,1923,1
1924-01-01,35.0,63,6,1924,1
1925-01-01,32.9,58,3,1925,1
1926-01-01,33.8,62,7,1926,1
1927-01-01,34.0,76,8,1927,1
1928-01-01,35.9,69,7,1928,1
1929-01-01,34.9,69,8,1929,1
1930-01-01,35.6,70,6,1930,1
1931-01-01,37.0,64,16,1931,1
1932-01-01,46.8,77,25,1932,1
1933-01-01,42.6,68,20,1933,1
1934-01-01,39.0,69,8,1934,1
1935-01-01,33.3,59,-2,1935,1
1936-01-01,30.6,58,0,1936,1
1937-01-01,43.8,76,29,1937,1
1938-01-01,35.7,63,18,1938,1
1939-01-01,37.7,63,17,1939,1
1940-01-01,24.9,55,7,1940,1
1941-01-01,34.7,55,21,1941,1
1942-01-01,34.8,65,7,1942,1
1943-01-01,36.2,74,15,1943,1
1944-01-01,37.4,71,16,1944,1
1945-01-01,30.8,55,11,1945,1
1946-01-01,36.8,65,11,1946,1
1947-01-01,41.7,73,12,1947,1
1948-01-01,28.8,62,5,1948,1
1949-01-01,42.6,73,21,1949,1
1950-01-01,47.9,79,22,1950,1
1951-01-01,39.3,71,18,1951,1
1952-01-01,40.7,74,15,1952,1
1953-01-01,40.7,73,25,1953,1
1954-01-01,35.9,72,13,1954,1
1955-01-01,35.4,63,12,1955,1
1956-01-01,34.5,63,20,1956,1
1957-01-01,32.9,64,8,1957,1
1958-01-01,34.4,55,18,1958,1
1959-01-01,34.9,70,11,1959,1
1960-01-01,38.2,57,20,1960,1
1961-01-01,29.8,53,5,1961,1
1962-01-01,34.6,62,9,1962,1
1963-01-01,31.4,59,3,1963,1
1964-01-01,36.2,65,7,1964,1
1965-01-01,33.4,62,9,1965,1
1966-01-01,32.4,68,9,1966,1
1967-01-01,41.0,71,17,1967,1
1968-01-01,31.4,58,7,1968,1
1969-01-01,34.2,60,13,1969,1
1970-01-01,30.0,62,4,1970,1
1971-01-01,31.3,53,14,1971,1
1972-01-01,38.4,65,3,1972,1
1973-01-01,37.6,64,17,1973,1
1974-01-01,42.9,75,22,1974,1
1975-01-01,40.9,76,19,1975,1
1976-01-01,33.8,59,11,1976,1
1977-01-01,25.4,49,2,1977,1
1978-01-01,32.4,62,10,1978,1
1979-01-01,35.1,63,10,1979,1
1980-01-01,37.2,57,20,1980,1
1981-01-01,33.0,63,11,1981,1
1982-01-01,28.1,61,-5,1982,1
1983-01-01,38.1,61,16,1983,1
1984-01-01,32.2,59,3,1984,1
1985-01-01,30.7,61,-4,1985,1
