Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1872,8,90,17,31,98.0
DCA,1873,8,90,9,31,98.0
DCA,1874,8,90,7,31,100.0
DCA,1875,8,90,1,31,90.0
DCA,1876,8,90,5,31,96.0
DCA,1877,8,90,7,31,94.0
DCA,1878,8,90,7,31,94.0
DCA,1879,8,90,7,31,94.0
DCA,1880,8,90,6,31,95.0
DCA,1881,8,90,14,31,101.0
DCA,1882,8,90,4,31,91.0
DCA,1883,8,90,7,31,94.0
DCA,1884,8,90,3,31,95.0
DCA,1885,8,90,6,31,94.0
DCA,1886,8,90,3,31,92.0
DCA,1887,8,90,4,31,92.0
DCA,1888,8,90,8,31,97.0
DCA,1889,8,90,1,31,90.0
DCA,1890,8,90,2,31,95.0
DCA,1891,8,90,5,31,95.0
DCA,1892,8,90,6,31,95.0
DCA,1893,8,90,6,31,95.0
DCA,1894,8,90,4,31,92.0
DCA,1895,8,90,11,31,97.0
DCA,1896,8,90,10,31,98.0
DCA,1897,8,90,2,31,90.0
DCA,1898,8,90,11,31,93.0
DCA,1899,8,90,6,31,96.0
DCA,1900,8,90,18,31,101.0
DCA,1901,8,90,3,31,91.0
DCA,1902,8,90,2,31,90.0
DCA,1903,8,90,3,31,96.0
DCA,1904,8,90,1,31,92.0
DCA,1905,8,90,1,31,90.0
DCA,1906,8,90,3,31,94.0
DCA,1907,8,90,1,31,91.0
DCA,1908,8,90,5,31,95.0
DCA,1909,8,90,6,31,96.0
DCA,1910,8,90,3,31,90.0
DCA,1911,8,90,10,31,100.0
DCA,1912,8,90,5,31,92.0
DCA,1913,8,90,6,31,97.0
DCA,1914,8,90,12,31,97.0
DCA,1915,8,90,6,31,97.0
DCA,1916,8,90,7,31,97.0
DCA,1917,8,90,5,31,96.0
DCA,1918,8,90,10,31,106.0
DCA,1919,8,90,3,31,93.0
DCA,1920,8,90,4,31,92.0
DCA,1921,8,90,4,31,93.0
DCA,1922,8,90,3,31,92.0
DCA,1923,8,90,8,31,94.0
DCA,1924,8,90,8,31,102.0
DCA,1925,8,90,4,31,92.0
DCA,1926,8,90,13,31,99.0
DCA,1927,8,90,1,31,90.0
DCA,1928,8,90,10,31,97.0
DCA,1929,8,90,7,31,95.0
DCA,1930,8,90,10,31,102.0
DCA,1931,8,90,9,31,98.0
DCA,1932,8,90,14,31,100.0
DCA,1933,8,90,7,31,98.0
DCA,1934,8,90,5,31,92.0
DCA,1935,8,90,8,31,98.0
DCA,1936,8,90,13,31,98.0
DCA,1937,8,90,12,31,97.0
DCA,1938,8,90,12,31,96.0
DCA,1939,8,90,13,31,96.0
DCA,1940,8,90,2,31,91.0
DCA,1941,8,90,7,31,96.0
DCA,1942,8,90,5,31,93.0
DCA,1943,8,90,21,31,100.0
DCA,1944,8,90,10,31,96.0
DCA,1945,8,90,4,31,94.0
DCA,1946,8,90,3,31,91.0
DCA,1947,8,90,11,31,96.0
DCA,1948,8,90,6,31,99.0
DCA,1949,8,90,6,31,97.0
DCA,1950,8,90,2,31,92.0
DCA,1951,8,90,7,31,94.0
DCA,1952,8,90,2,31,90.0
DCA,1953,8,90,10,31,100.0
DCA,1954,8,90,5,31,94.0
DCA,1955,8,90,11,31,98.0
DCA,1956,8,90,5,31,93.0
DCA,1957,8,90,9,31,98.0
DCA,1958,8,90,4,31,92.0
DCA,1959,8,90,16,31,96.0
DCA,1960,8,90,9,31,94.0
DCA,1961,8,90,6,31,94.0
DCA,1962,8,90,6,31,99.0
DCA,1963,8,90,5,31,94.0
DCA,1964,8,90,9,31,94.0
DCA,1965,8,90,14,31,96.0
DCA,1966,8,90,19,31,94.0
