Date,TotalPrecip,Year,Month
1871-06-01,4.78,1871,6
1872-06-01,2.78,1872,6
1873-06-01,1.63,1873,6
1874-06-01,3.47,1874,6
1875-06-01,2.06,1875,6
1876-06-01,4.59,1876,6
1877-06-01,5.92,1877,6
1878-06-01,6.33,1878,6
1879-06-01,3.29,1879,6
1880-06-01,3.52,1880,6
1881-06-01,5.71,1881,6
1882-06-01,2.33,1882,6
1883-06-01,8.55,1883,6
1884-06-01,6.95,1884,6
1885-06-01,3.3,1885,6
1886-06-01,6.75,1886,6
1887-06-01,2.99,1887,6
1888-06-01,3.53,1888,6
1889-06-01,5.01,1889,6
1890-06-01,2.02,1890,6
1891-06-01,4.61,1891,6
1892-06-01,2.59,1892,6
1893-06-01,1.81,1893,6
1894-06-01,1.24,1894,6
1895-06-01,4.34,1895,6
1896-06-01,2.39,1896,6
1897-06-01,2.6,1897,6
1898-06-01,1.33,1898,6
1899-06-01,2.46,1899,6
1900-06-01,10.94,1900,6
1901-06-01,4.66,1901,6
1902-06-01,3.7,1902,6
1903-06-01,3.6,1903,6
1904-06-01,5.49,1904,6
1905-06-01,4.52,1905,6
1906-06-01,5.89,1906,6
1907-06-01,4.86,1907,6
1908-06-01,1.73,1908,6
1909-06-01,3.82,1909,6
1910-06-01,4.77,1910,6
1911-06-01,4.55,1911,6
1912-06-01,4.36,1912,6
1913-06-01,1.81,1913,6
1914-06-01,6.2,1914,6
1915-06-01,6.58,1915,6
1916-06-01,7.53,1916,6
1917-06-01,6.25,1917,6
1918-06-01,2.06,1918,6
1919-06-01,3.44,1919,6
1920-06-01,4.8,1920,6
1921-06-01,3.45,1921,6
1922-06-01,4.1,1922,6
1923-06-01,2.8,1923,6
1924-06-01,3.89,1924,6
1925-06-01,1.53,1925,6
1926-06-01,1.66,1926,6
1927-06-01,4.01,1927,6
1928-06-01,2.66,1928,6
1929-06-01,7.41,1929,6
1930-06-01,3.19,1930,6
1931-06-01,2.12,1931,6
1932-06-01,2.84,1932,6
1933-06-01,3.88,1933,6
1934-06-01,2.87,1934,6
1935-06-01,3.43,1935,6
1936-06-01,2.29,1936,6
1937-06-01,5.23,1937,6
1938-06-01,2.26,1938,6
1939-06-01,4.55,1939,6
1940-06-01,0.86,1940,6
1941-06-01,4.38,1941,6
1942-06-01,5.35,1942,6
1943-06-01,2.43,1943,6
1944-06-01,2.78,1944,6
1945-06-01,5.13,1945,6
1946-06-01,1.4,1946,6
1947-06-01,6.86,1947,6
1948-06-01,5.44,1948,6
1949-06-01,2.42,1949,6
1950-06-01,3.14,1950,6
1951-06-01,6.69,1951,6
1952-06-01,3.06,1952,6
1953-06-01,2.98,1953,6
1954-06-01,1.24,1954,6
1955-06-01,2.76,1955,6
1956-06-01,2.66,1956,6
1957-06-01,3.02,1957,6
1958-06-01,3.21,1958,6
1959-06-01,5.35,1959,6
1960-06-01,2.52,1960,6
1961-06-01,4.84,1961,6
1962-06-01,2.44,1962,6
1963-06-01,6.87,1963,6
1964-06-01,1.3,1964,6
1965-06-01,1.88,1965,6
1966-06-01,2.02,1966,6
1967-06-01,1.51,1967,6
1968-06-01,7.4,1968,6
1969-06-01,3.46,1969,6
1970-06-01,2.8,1970,6
1971-06-01,1.72,1971,6
1972-06-01,11.53,1972,6
1973-06-01,2.11,1973,6
1974-06-01,3.4,1974,6
1975-06-01,2.15,1975,6
1976-06-01,1.21,1976,6
1977-06-01,3.28,1977,6
1978-06-01,2.43,1978,6
1979-06-01,2.99,1979,6
1980-06-01,1.68,1980,6
1981-06-01,2.55,1981,6
1982-06-01,5.41,1982,6
1983-06-01,7.09,1983,6
1984-06-01,2.01,1984,6
1985-06-01,2.05,1985,6
1986-06-01,1.29,1986,6
1987-06-01,3.9,1987,6
1988-06-01,0.95,1988,6
1989-06-01,6.02,1989,6
1990-06-01,3.14,1990,6
1991-06-01,1.27,1991,6
1992-06-01,2.35,1992,6
1993-06-01,1.73,1993,6
1994-06-01,1.59,1994,6
1995-06-01,2.42,1995,6
1996-06-01,3.14,1996,6
1997-06-01,2.94,1997,6
1998-06-01,4.42,1998,6
1999-06-01,2.26,1999,6
2000-06-01,4.93,2000,6
2001-06-01,4.69,2001,6
2002-06-01,3.81,2002,6
2003-06-01,7.87,2003,6
2004-06-01,4.6,2004,6
2005-06-01,2.87,2005,6
2006-06-01,14.02,2006,6
2007-06-01,1.38,2007,6
2008-06-01,4.8,2008,6
2009-06-01,5.86,2009,6
2010-06-01,1.87,2010,6
2011-06-01,1.68,2011,6
2012-06-01,2.38,2012,6
2013-06-01,9.97,2013,6
2014-06-01,3.31,2014,6
2015-06-01,11.94,2015,6
2016-06-01,3.68,2016,6
2017-06-01,1.13,2017,6
2018-06-01,5.21,2018,6
2019-06-01,4.27,2019,6
2020-06-01,3.51,2020,6
2021-06-01,5.51,2021,6
2022-06-01,2.96,2022,6
2023-06-01,2.1,2023,6
2024-06-01,1.15,2024,6
2025-06-01,5.48,2025,6
