Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1872,7,90,21,31,101.0
DCA,1873,7,90,20,31,101.0
DCA,1874,7,90,11,31,98.0
DCA,1875,7,90,7,31,96.0
DCA,1876,7,90,18,31,98.0
DCA,1877,7,90,9,31,98.0
DCA,1878,7,90,21,31,98.0
DCA,1879,7,90,13,31,102.0
DCA,1880,7,90,10,31,98.0
DCA,1881,7,90,15,31,98.0
DCA,1882,7,90,10,31,95.0
DCA,1883,7,90,13,31,97.0
DCA,1884,7,90,5,31,96.0
DCA,1885,7,90,15,31,99.0
DCA,1886,7,90,3,31,91.0
DCA,1887,7,90,13,31,103.0
DCA,1888,7,90,3,31,90.0
DCA,1889,7,90,4,31,92.0
DCA,1890,7,90,9,31,98.0
DCA,1891,7,90,0,31,89.0
DCA,1892,7,90,8,31,99.0
DCA,1893,7,90,10,31,97.0
DCA,1894,7,90,15,31,97.0
DCA,1895,7,90,4,31,94.0
DCA,1896,7,90,8,31,94.0
DCA,1897,7,90,7,31,92.0
DCA,1898,7,90,15,31,101.0
DCA,1899,7,90,8,31,94.0
DCA,1900,7,90,17,31,99.0
DCA,1901,7,90,18,31,102.0
DCA,1902,7,90,13,31,99.0
DCA,1903,7,90,10,31,96.0
DCA,1904,7,90,4,31,92.0
DCA,1905,7,90,3,31,95.0
DCA,1906,7,90,1,31,91.0
DCA,1907,7,90,8,31,93.0
DCA,1908,7,90,11,31,99.0
DCA,1909,7,90,6,31,96.0
DCA,1910,7,90,13,31,95.0
DCA,1911,7,90,15,31,99.0
DCA,1912,7,90,10,31,94.0
DCA,1913,7,90,15,31,97.0
DCA,1914,7,90,8,31,98.0
DCA,1915,7,90,8,31,95.0
DCA,1916,7,90,9,31,95.0
DCA,1917,7,90,4,31,99.0
DCA,1918,7,90,10,31,96.0
DCA,1919,7,90,10,31,101.0
DCA,1920,7,90,8,31,95.0
DCA,1921,7,90,13,31,95.0
DCA,1922,7,90,8,31,95.0
DCA,1923,7,90,7,31,96.0
DCA,1924,7,90,6,31,95.0
DCA,1925,7,90,10,31,98.0
DCA,1926,7,90,11,31,104.0
DCA,1927,7,90,11,31,96.0
DCA,1928,7,90,12,31,97.0
DCA,1929,7,90,13,31,97.0
DCA,1930,7,90,18,31,106.0
DCA,1931,7,90,16,31,97.0
DCA,1932,7,90,11,31,95.0
DCA,1933,7,90,10,31,99.0
DCA,1934,7,90,17,31,100.0
DCA,1935,7,90,12,31,98.0
DCA,1936,7,90,14,31,105.0
DCA,1937,7,90,13,31,96.0
DCA,1938,7,90,15,31,96.0
DCA,1939,7,90,8,31,93.0
DCA,1940,7,90,14,31,100.0
DCA,1941,7,90,8,31,99.0
DCA,1942,7,90,11,31,99.0
DCA,1943,7,90,15,31,94.0
DCA,1944,7,90,15,31,97.0
DCA,1945,7,90,3,31,99.0
DCA,1946,7,90,9,31,96.0
DCA,1947,7,90,2,31,93.0
DCA,1948,7,90,9,31,95.0
DCA,1949,7,90,14,31,96.0
DCA,1950,7,90,5,31,92.0
DCA,1951,7,90,11,31,95.0
DCA,1952,7,90,16,31,99.0
DCA,1953,7,90,16,31,99.0
