Station,Year,Month,ThresholdF,Days90F,ValidDays,MaxTempMonth
DCA,1954,7,90,13,31,103.0
DCA,1955,7,90,18,31,98.0
DCA,1956,7,90,5,31,94.0
DCA,1957,7,90,16,31,101.0
DCA,1958,7,90,13,31,95.0
DCA,1959,7,90,6,31,94.0
DCA,1960,7,90,5,31,94.0
DCA,1961,7,90,15,31,94.0
DCA,1962,7,90,6,31,95.0
DCA,1963,7,90,13,31,96.0
DCA,1964,7,90,16,31,96.0
DCA,1965,7,90,14,31,97.0
DCA,1966,7,90,20,31,101.0
DCA,1967,7,90,7,31,93.0
DCA,1968,7,90,12,31,97.0
DCA,1969,7,90,16,31,98.0
DCA,1970,7,90,17,31,95.0
DCA,1971,7,90,9,31,93.0
DCA,1972,7,90,11,31,95.0
DCA,1973,7,90,11,31,95.0
DCA,1974,7,90,14,31,96.0
DCA,1975,7,90,12,31,93.0
DCA,1976,7,90,7,31,93.0
DCA,1977,7,90,20,31,100.0
DCA,1978,7,90,13,31,100.0
DCA,1979,7,90,8,31,93.0
DCA,1980,7,90,21,31,103.0
DCA,1981,7,90,13,31,98.0
DCA,1982,7,90,15,31,97.0
DCA,1983,7,90,20,31,99.0
DCA,1984,7,90,4,31,93.0
DCA,1985,7,90,13,31,95.0
DCA,1986,7,90,16,31,98.0
DCA,1987,7,90,24,31,100.0
DCA,1988,7,90,23,31,104.0
DCA,1989,7,90,9,31,96.0
DCA,1990,7,90,14,31,100.0
DCA,1991,7,90,19,31,101.0
DCA,1992,7,90,13,31,99.0
DCA,1993,7,90,24,31,100.0
DCA,1994,7,90,22,31,98.0
DCA,1995,7,90,20,31,99.0
DCA,1996,7,90,9,31,94.0
DCA,1997,7,90,18,31,100.0
DCA,1998,7,90,9,31,97.0
DCA,1999,7,90,22,31,103.0
DCA,2000,7,90,1,31,91.0
DCA,2001,7,90,5,31,93.0
DCA,2002,7,90,19,31,99.0
DCA,2003,7,90,8,31,94.0
DCA,2004,7,90,4,31,92.0
DCA,2005,7,90,13,31,97.0
DCA,2006,7,90,14,31,97.0
DCA,2007,7,90,14,31,98.0
DCA,2008,7,90,14,31,96.0
DCA,2009,7,90,7,31,96.0
DCA,2010,7,90,21,31,102.0
DCA,2011,7,90,25,31,104.0
DCA,2012,7,90,22,31,105.0
DCA,2013,7,90,11,31,97.0
DCA,2014,7,90,9,31,99.0
DCA,2015,7,90,14,31,98.0
DCA,2016,7,90,23,31,100.0
DCA,2017,7,90,20,31,98.0
DCA,2018,7,90,12,31,98.0
DCA,2019,7,90,22,31,99.0
DCA,2020,7,90,28,31,99.0
DCA,2021,7,90,19,31,97.0
DCA,2022,7,90,14,31,96.0
DCA,2023,7,90,15,31,97.0
DCA,2024,7,90,19,31,104.0
DCA,2025,7,90,18,31,98.0
