Year,Snowfall
1888,4.6
1889,3.0
1890,0.0
1891,6.1
1892,20.5
1893,11.299999999999999
1894,2.0
1895,8.7
1896,0.2
1897,6.699999999999999
1898,6.0
1899,8.3
1900,2.2
1901,8.1
1902,7.1
1903,2.2
1904,16.5
1905,13.5
1906,2.8
1907,4.6000000000000005
1908,2.8
1909,13.7
1910,6.7
1911,5.9
1912,17.4
1913,0.0
1914,0.0
1915,2.0
1916,5.7
1917,4.8
1918,25.1
1919,0.5
1920,3.7
1921,1.8
1922,31.5
1923,3.0999999999999996
1924,1.0
1925,19.7
1926,3.4
1927,0.30000000000000004
1928,10.6
1929,0.3
1930,16.3
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,25.4
1936,3.0
1937,0.0
1938,1.5
1939,7.8
1940,15.3
1941,3.2
1942,1.8
1943,6.2
1944,4.1
1945,3.4
1946,6.8
1947,4.1
1948,12.2
1949,7.4
1950,0.3
1951,0.8
1952,1.5999999999999999
1953,1.3
1954,11.3
1955,2.3
1956,4.5
1957,10.100000000000001
1958,0.30000000000000004
1959,4.0
1960,0.0
1961,13.600000000000001
1962,2.0
1963,2.0999999999999996
1964,8.9
1965,9.1
1966,21.3
1967,1.3
1968,2.8
1969,0.2
1970,3.6
1971,4.800000000000001
1972,0.30000000000000004
1973,0.0
1974,1.5
1975,6.6
1976,0.1
1977,9.7
1978,10.299999999999999
1979,3.9999999999999996
1980,8.6
1981,4.2
1982,15.3
1983,0.0
1984,6.5
1985,10.0
1986,1.8
1987,20.8
1988,13.1
1989,2.9
1990,0.2
1991,4.800000000000001
1992,4.0
1993,0.0
1994,3.5
1995,3.9
1996,23.8
1997,2.3
1998,0.0
1999,2.2
2000,14.5
2001,2.4000000000000004
2002,2.7
2003,4.5
2004,6.2
2005,6.4
2006,0.0
2007,1.3
2008,1.3
2009,1.9
2010,7.4
2011,7.3
2012,1.7
2013,0.9
2014,6.6
2015,3.6
2016,18.8
2017,1.4
2018,1.2000000000000002
2019,11.500000000000002
2020,0.2
2021,2.5999999999999996
2022,12.3
2023,0.0
2024,7.8
2025,8.3
2026,7.0
