Date,TotalPrecip,Year,Month
1871-04-01,0.91,1871,4
1872-04-01,1.77,1872,4
1873-04-01,3.19,1873,4
1874-04-01,5.65,1874,4
1875-04-01,2.29,1875,4
1876-04-01,2.43,1876,4
1877-04-01,4.87,1877,4
1878-04-01,3.32,1878,4
1879-04-01,2.39,1879,4
1880-04-01,3.81,1880,4
1881-04-01,2.08,1881,4
1882-04-01,2.55,1882,4
1883-04-01,4.09,1883,4
1884-04-01,1.86,1884,4
1885-04-01,1.71,1885,4
1886-04-01,2.71,1886,4
1887-04-01,3.24,1887,4
1888-04-01,1.89,1888,4
1889-04-01,9.13,1889,4
1890-04-01,2.81,1890,4
1891-04-01,2.94,1891,4
1892-04-01,4.52,1892,4
1893-04-01,3.21,1893,4
1894-04-01,3.34,1894,4
1895-04-01,6.26,1895,4
1896-04-01,1.07,1896,4
1897-04-01,3.02,1897,4
1898-04-01,2.36,1898,4
1899-04-01,1.54,1899,4
1900-04-01,1.74,1900,4
1901-04-01,6.34,1901,4
1902-04-01,2.22,1902,4
1903-04-01,4.29,1903,4
1904-04-01,2.98,1904,4
1905-04-01,2.69,1905,4
1906-04-01,3.03,1906,4
1907-04-01,3.61,1907,4
1908-04-01,1.6,1908,4
1909-04-01,2.69,1909,4
1910-04-01,5.89,1910,4
1911-04-01,2.85,1911,4
1912-04-01,2.33,1912,4
1913-04-01,5.86,1913,4
1914-04-01,3.2,1914,4
1915-04-01,0.9,1915,4
1916-04-01,2.96,1916,4
1917-04-01,2.16,1917,4
1918-04-01,6.58,1918,4
1919-04-01,3.72,1919,4
1920-04-01,4.69,1920,4
1921-04-01,2.93,1921,4
1922-04-01,1.05,1922,4
1923-04-01,3.94,1923,4
1924-04-01,5.39,1924,4
1925-04-01,2.44,1925,4
1926-04-01,0.79,1926,4
1927-04-01,4.96,1927,4
1928-04-01,4.49,1928,4
1929-04-01,6.1,1929,4
1930-04-01,3.12,1930,4
1931-04-01,2.87,1931,4
1932-04-01,2.12,1932,4
1933-04-01,4.67,1933,4
1934-04-01,2.27,1934,4
1935-04-01,3.95,1935,4
1936-04-01,1.98,1936,4
1937-04-01,6.85,1937,4
1938-04-01,1.67,1938,4
1939-04-01,3.78,1939,4
1940-04-01,6.19,1940,4
1941-04-01,2.73,1941,4
1942-04-01,0.54,1942,4
1943-04-01,3.3,1943,4
1944-04-01,3.08,1944,4
1945-04-01,3.26,1945,4
1946-04-01,1.93,1946,4
1947-04-01,2.48,1947,4
1948-04-01,3.05,1948,4
1949-04-01,1.94,1949,4
1950-04-01,1.86,1950,4
1951-04-01,3.49,1951,4
1952-04-01,5.97,1952,4
1953-04-01,4.77,1953,4
1954-04-01,3.3,1954,4
1955-04-01,2.57,1955,4
1956-04-01,2.06,1956,4
1957-04-01,2.73,1957,4
1958-04-01,4.92,1958,4
1959-04-01,4.01,1959,4
1960-04-01,3.15,1960,4
1961-04-01,3.24,1961,4
1962-04-01,2.9,1962,4
1963-04-01,0.99,1963,4
1964-04-01,4.37,1964,4
1965-04-01,1.65,1965,4
1966-04-01,3.33,1966,4
1967-04-01,0.8,1967,4
1968-04-01,1.53,1968,4
1969-04-01,1.71,1969,4
1970-04-01,5.35,1970,4
1971-04-01,2.1,1971,4
1972-04-01,3.99,1972,4
1973-04-01,4.19,1973,4
1974-04-01,2.26,1974,4
1975-04-01,2.13,1975,4
1976-04-01,1.17,1976,4
1977-04-01,2.66,1977,4
1978-04-01,1.38,1978,4
1979-04-01,1.88,1979,4
1980-04-01,3.28,1980,4
1981-04-01,2.63,1981,4
1982-04-01,3.19,1982,4
1983-04-01,6.88,1983,4
1984-04-01,3.71,1984,4
1985-04-01,0.03,1985,4
1986-04-01,1.98,1986,4
1987-04-01,2.28,1987,4
1988-04-01,2.0,1988,4
1989-04-01,3.5,1989,4
1990-04-01,4.09,1990,4
1991-04-01,1.39,1991,4
1992-04-01,2.55,1992,4
1993-04-01,3.62,1993,4
1994-04-01,1.58,1994,4
1995-04-01,1.89,1995,4
1996-04-01,3.17,1996,4
1997-04-01,2.41,1997,4
1998-04-01,3.96,1998,4
1999-04-01,2.09,1999,4
2000-04-01,5.13,2000,4
2001-04-01,1.68,2001,4
2002-04-01,3.47,2002,4
2003-04-01,2.55,2003,4
2004-04-01,3.84,2004,4
2005-04-01,4.33,2005,4
2006-04-01,3.1,2006,4
2007-04-01,4.17,2007,4
2008-04-01,4.92,2008,4
2009-04-01,4.22,2009,4
2010-04-01,1.5,2010,4
2011-04-01,3.2,2011,4
2012-04-01,1.92,2012,4
2013-04-01,2.76,2013,4
2014-04-01,6.47,2014,4
2015-04-01,3.41,2015,4
2016-04-01,2.05,2016,4
2017-04-01,2.62,2017,4
2018-04-01,3.59,2018,4
2019-04-01,2.24,2019,4
2020-04-01,6.3,2020,4
2021-04-01,2.2,2021,4
2022-04-01,3.82,2022,4
2023-04-01,3.55,2023,4
2024-04-01,2.06,2024,4
2025-04-01,3.03,2025,4
