Hour,TotalTSReports,Roll3
0,108,94.0
1,80,78.66666666666667
2,48,60.0
3,52,45.0
4,35,39.333333333333336
5,31,33.0
6,33,26.666666666666668
7,16,21.0
8,14,13.333333333333334
9,10,12.666666666666666
10,14,15.333333333333334
11,22,24.0
12,36,38.0
13,56,60.333333333333336
14,89,93.66666666666667
15,136,137.0
16,186,183.66666666666666
17,229,215.33333333333334
18,231,232.33333333333334
19,237,237.33333333333334
20,244,228.0
21,203,203.0
22,162,157.66666666666666
23,108,135.0
