Month-Day,RecordHigh,RecordHighYear,RecordLow,RecordLowYear,RecordLowMax,RecordLowMaxYear,RecordWarmMin,RecordWarmMinYear,NormalHigh,NormalLow
03-24,85.0,1907,17.0,1885,28.0,1906,54.0,"2021, and prior",59,41
03-25,84.0,1939,19.0,"1940, and prior",33.0,1940,66.0,1913,60,41
03-26,87.0,1921,23.0,1955,37.0,1947,59.0,1913,60,42
03-27,86.0,1921,20.0,1894,34.0,1894,62.0,1921,60,42
03-28,85.0,1945,21.0,1894,38.0,1891,62.0,1908,61,42
03-29,92.0,1907,18.0,1923,34.0,1887,65.0,1989,61,42
03-30,87.0,1998,21.0,1887,38.0,1883,65.0,2025,62,43
03-31,85.0,"2025, and prior",21.0,1923,37.0,1890,63.0,1998,62,43
04-01,88.0,1978,15.0,1923,35.0,"1887, and prior",64.0,2016,62,43
04-02,89.0,1963,23.0,1907,41.0,1881,57.0,1945,63,44
04-03,87.0,1963,27.0,"1906, and prior",40.0,1896,62.0,"1945, and prior",63,44
04-04,85.0,"2011, and prior",27.0,"1899, and prior",39.0,1881,66.0,1981,64,44
04-05,87.0,2023,24.0,"1881, and prior",36.0,1881,61.0,1892,64,45
04-06,92.0,"1942, and prior",26.0,1898,41.0,1881,66.0,1947,64,45
04-07,94.0,1929,24.0,1982,38.0,1938,64.0,1942,65,46
04-08,93.0,1929,29.0,"2007, and prior",41.0,"2003, and prior",60.0,"1926, and prior",65,46
04-09,90.0,1959,28.0,"1972, and prior",41.0,1917,66.0,1991,66,46
04-10,91.0,2013,28.0,1997,41.0,1894,66.0,1922,66,46
04-11,91.0,1930,26.0,1909,38.0,"1918, and prior",65.0,1922,66,47
04-12,90.0,1977,24.0,1874,38.0,1918,63.0,1947,67,47
04-13,90.0,1977,26.0,"1891, and prior",41.0,1940,63.0,2019,67,48
04-14,91.0,1960,24.0,1950,43.0,"1943, and prior",65.0,2014,68,48
04-15,89.0,1941,28.0,1904,40.0,1923,65.0,2023,68,48
04-16,92.0,2002,29.0,1928,40.0,1935,65.0,"2017, and prior",68,49
04-17,95.0,2002,26.0,1875,36.0,1875,65.0,2002,69,49
04-18,95.0,1976,25.0,1875,33.0,1875,67.0,2002,69,49
04-19,93.0,1976,22.0,1875,44.0,1926,69.0,1896,70,50
04-20,94.0,1941,28.0,1904,47.0,1897,67.0,1941,70,50
04-21,89.0,"1976, and prior",31.0,1875,47.0,1940,64.0,"2017, and prior",70,50
04-22,93.0,1985,30.0,1875,47.0,1911,65.0,1977,70,51
04-23,95.0,1960,33.0,"1933, and prior",43.0,1883,68.0,1977,71,51
04-24,94.0,"1960, and prior",34.0,"1930, and prior",45.0,1956,65.0,1957,71,51
04-25,93.0,"1960, and prior",32.0,1883,44.0,1876,66.0,1960,71,52
04-26,94.0,1915,34.0,1883,48.0,1893,65.0,"2016, and prior",72,52
04-27,95.0,1915,38.0,"1933, and prior",45.0,1928,66.0,2011,72,52
04-28,92.0,1957,33.0,1898,43.0,1898,66.0,"1990, and prior",72,53
04-29,91.0,"2017, and prior",30.0,1874,45.0,1874,70.0,2017,72,53
04-30,92.0,"1942, and prior",34.0,1874,47.0,1912,67.0,1983,73,53
05-01,96.0,1942,34.0,1876,51.0,"1963, and prior",66.0,1983,73,54
05-02,91.0,"2024, and prior",35.0,1945,51.0,1877,71.0,2010,73,54
