Date,TotalPrecip,Year,Month
1871-02-01,2.7,1871,2
1872-02-01,0.93,1872,2
1873-02-01,4.69,1873,2
1874-02-01,1.84,1874,2
1875-02-01,2.65,1875,2
1876-02-01,3.5,1876,2
1877-02-01,1.16,1877,2
1878-02-01,2.54,1878,2
1879-02-01,1.87,1879,2
1880-02-01,1.71,1880,2
1881-02-01,4.01,1881,2
1882-02-01,5.09,1882,2
1883-02-01,5.08,1883,2
1884-02-01,6.84,1884,2
1885-02-01,4.63,1885,2
1886-02-01,4.32,1886,2
1887-02-01,3.42,1887,2
1888-02-01,3.19,1888,2
1889-02-01,2.47,1889,2
1890-02-01,4.2,1890,2
1891-02-01,4.49,1891,2
1892-02-01,3.64,1892,2
1893-02-01,4.25,1893,2
1894-02-01,4.64,1894,2
1895-02-01,1.1,1895,2
1896-02-01,5.31,1896,2
1897-02-01,6.47,1897,2
1898-02-01,1.64,1898,2
1899-02-01,6.17,1899,2
1900-02-01,5.26,1900,2
1901-02-01,0.62,1901,2
1902-02-01,4.72,1902,2
1903-02-01,5.32,1903,2
1904-02-01,1.65,1904,2
1905-02-01,2.55,1905,2
1906-02-01,2.14,1906,2
1907-02-01,2.3,1907,2
1908-02-01,3.98,1908,2
1909-02-01,3.11,1909,2
1910-02-01,2.2,1910,2
1911-02-01,1.92,1911,2
1912-02-01,2.7,1912,2
1913-02-01,1.37,1913,2
1914-02-01,3.05,1914,2
1915-02-01,3.6,1915,2
1916-02-01,2.84,1916,2
1917-02-01,1.97,1917,2
1918-02-01,0.83,1918,2
1919-02-01,2.01,1919,2
1920-02-01,3.47,1920,2
1921-02-01,2.29,1921,2
1922-02-01,2.86,1922,2
1923-02-01,2.19,1923,2
1924-02-01,3.05,1924,2
1925-02-01,0.98,1925,2
1926-02-01,4.17,1926,2
1927-02-01,3.34,1927,2
1928-02-01,2.69,1928,2
1929-02-01,3.19,1929,2
1930-02-01,1.64,1930,2
1931-02-01,1.36,1931,2
1932-02-01,2.46,1932,2
1933-02-01,2.63,1933,2
1934-02-01,3.22,1934,2
1935-02-01,2.37,1935,2
1936-02-01,3.83,1936,2
1937-02-01,3.33,1937,2
1938-02-01,2.37,1938,2
1939-02-01,5.71,1939,2
1940-02-01,2.77,1940,2
1941-02-01,0.92,1941,2
1942-02-01,2.03,1942,2
1943-02-01,2.02,1943,2
1944-02-01,2.48,1944,2
1945-02-01,2.94,1945,2
1946-02-01,2.32,1946,2
1947-02-01,1.27,1947,2
1948-02-01,1.67,1948,2
1949-02-01,2.68,1949,2
1950-02-01,2.72,1950,2
1951-02-01,2.65,1951,2
1952-02-01,1.77,1952,2
1953-02-01,2.35,1953,2
1954-02-01,0.85,1954,2
1955-02-01,3.13,1955,2
1956-02-01,2.82,1956,2
1957-02-01,2.75,1957,2
1958-02-01,4.14,1958,2
1959-02-01,1.51,1959,2
1960-02-01,3.33,1960,2
1961-02-01,5.71,1961,2
1962-02-01,3.65,1962,2
1963-02-01,1.94,1963,2
1964-02-01,3.38,1964,2
1965-02-01,1.89,1965,2
1966-02-01,3.57,1966,2
1967-02-01,2.32,1967,2
1968-02-01,0.8,1968,2
1969-02-01,2.08,1969,2
1970-02-01,2.69,1970,2
1971-02-01,5.44,1971,2
1972-02-01,5.27,1972,2
1973-02-01,2.68,1973,2
1974-02-01,0.95,1974,2
1975-02-01,1.56,1975,2
1976-02-01,1.55,1976,2
1977-02-01,0.66,1977,2
1978-02-01,0.42,1978,2
1979-02-01,5.62,1979,2
1980-02-01,1.16,1980,2
1981-02-01,2.82,1981,2
1982-02-01,3.33,1982,2
1983-02-01,3.09,1983,2
1984-02-01,3.43,1984,2
1985-02-01,3.07,1985,2
1986-02-01,3.49,1986,2
1987-02-01,2.11,1987,2
1988-02-01,2.52,1988,2
1989-02-01,2.8,1989,2
1990-02-01,1.3,1990,2
1991-02-01,0.83,1991,2
1992-02-01,2.23,1992,2
1993-02-01,2.27,1993,2
1994-02-01,4.2,1994,2
1995-02-01,1.71,1995,2
1996-02-01,1.99,1996,2
1997-02-01,2.43,1997,2
1998-02-01,5.23,1998,2
1999-02-01,2.54,1999,2
2000-02-01,2.06,2000,2
2001-02-01,1.83,2001,2
2002-02-01,0.47,2002,2
2003-02-01,6.98,2003,2
2004-02-01,2.28,2004,2
2005-02-01,1.63,2005,2
2006-02-01,2.46,2006,2
2007-02-01,2.22,2007,2
2008-02-01,4.17,2008,2
2009-02-01,0.35,2009,2
2010-02-01,2.72,2010,2
2011-02-01,2.12,2011,2
2012-02-01,2.33,2012,2
2013-02-01,1.67,2013,2
2014-02-01,4.02,2014,2
2015-02-01,1.68,2015,2
2016-02-01,3.79,2016,2
2017-02-01,0.68,2017,2
2018-02-01,4.79,2018,2
2019-02-01,3.52,2019,2
2020-02-01,3.21,2020,2
2021-02-01,4.66,2021,2
2022-02-01,2.33,2022,2
2023-02-01,2.08,2023,2
2024-02-01,1.41,2024,2
2025-02-01,2.84,2025,2
2026-02-01,2.57,2026,2
