Date,TotalPrecip,Year,Month
1871-12-01,1.32,1871,12
1872-12-01,2.49,1872,12
1873-12-01,0.97,1873,12
1874-12-01,2.59,1874,12
1875-12-01,3.51,1875,12
1876-12-01,1.3,1876,12
1877-12-01,3.22,1877,12
1878-12-01,4.94,1878,12
1879-12-01,4.66,1879,12
1880-12-01,4.02,1880,12
1881-12-01,6.12,1881,12
1882-12-01,2.38,1882,12
1883-12-01,2.89,1883,12
1884-12-01,4.7,1884,12
1885-12-01,2.67,1885,12
1886-12-01,3.44,1886,12
1887-12-01,4.31,1887,12
1888-12-01,3.27,1888,12
1889-12-01,0.19,1889,12
1890-12-01,3.74,1890,12
1891-12-01,2.8,1891,12
1892-12-01,2.82,1892,12
1893-12-01,2.27,1893,12
1894-12-01,4.15,1894,12
1895-12-01,2.38,1895,12
1896-12-01,0.3,1896,12
1897-12-01,3.35,1897,12
1898-12-01,3.56,1898,12
1899-12-01,1.68,1899,12
1900-12-01,2.52,1900,12
1901-12-01,7.56,1901,12
1902-12-01,5.29,1902,12
1903-12-01,1.89,1903,12
1904-12-01,3.33,1904,12
1905-12-01,5.39,1905,12
1906-12-01,3.23,1906,12
1907-12-01,4.2,1907,12
1908-12-01,3.63,1908,12
1909-12-01,3.39,1909,12
1910-12-01,2.64,1910,12
1911-12-01,3.34,1911,12
1912-12-01,4.12,1912,12
1913-12-01,2.29,1913,12
1914-12-01,4.49,1914,12
1915-12-01,2.8,1915,12
1916-12-01,4.03,1916,12
1917-12-01,1.47,1917,12
1918-12-01,4.65,1918,12
1919-12-01,3.32,1919,12
1920-12-01,3.15,1920,12
1921-12-01,1.95,1921,12
1922-12-01,3.48,1922,12
1923-12-01,2.8,1923,12
1924-12-01,2.98,1924,12
1925-12-01,1.07,1925,12
1926-12-01,3.02,1926,12
1927-12-01,3.51,1927,12
1928-12-01,1.21,1928,12
1929-12-01,2.2,1929,12
1930-12-01,2.04,1930,12
1931-12-01,2.03,1931,12
1932-12-01,3.93,1932,12
1933-12-01,2.43,1933,12
1934-12-01,2.91,1934,12
1935-12-01,2.06,1935,12
1936-12-01,5.23,1936,12
1937-12-01,0.71,1937,12
1938-12-01,2.69,1938,12
1939-12-01,2.2,1939,12
1940-12-01,2.27,1940,12
1941-12-01,3.94,1941,12
1942-12-01,3.83,1942,12
1943-12-01,1.54,1943,12
1944-12-01,3.33,1944,12
1945-12-01,4.71,1945,12
1946-12-01,1.72,1946,12
1947-12-01,1.36,1947,12
1948-12-01,4.69,1948,12
1949-12-01,1.98,1949,12
1950-12-01,2.72,1950,12
1951-12-01,4.54,1951,12
1952-12-01,2.95,1952,12
1953-12-01,3.32,1953,12
1954-12-01,2.82,1954,12
1955-12-01,0.22,1955,12
1956-12-01,3.02,1956,12
1957-12-01,5.62,1957,12
1958-12-01,1.62,1958,12
1959-12-01,3.26,1959,12
1960-12-01,2.43,1960,12
1961-12-01,2.88,1961,12
1962-12-01,3.33,1962,12
1963-12-01,1.72,1963,12
1964-12-01,2.87,1964,12
1965-12-01,0.47,1965,12
1966-12-01,3.28,1966,12
1967-12-01,5.93,1967,12
1968-12-01,2.22,1968,12
1969-12-01,6.54,1969,12
1970-12-01,3.33,1970,12
1971-12-01,1.66,1971,12
1972-12-01,4.55,1972,12
1973-12-01,6.03,1973,12
1974-12-01,4.43,1974,12
1975-12-01,4.04,1975,12
1976-12-01,1.99,1976,12
1977-12-01,4.86,1977,12
1978-12-01,4.0,1978,12
1979-12-01,0.85,1979,12
1980-12-01,0.65,1980,12
1981-12-01,2.8,1981,12
1982-12-01,1.74,1982,12
1983-12-01,5.91,1983,12
1984-12-01,1.19,1984,12
1985-12-01,0.68,1985,12
1986-12-01,4.98,1986,12
1987-12-01,2.57,1987,12
1988-12-01,1.3,1988,12
1989-12-01,2.1,1989,12
1990-12-01,4.73,1990,12
1991-12-01,5.07,1991,12
1992-12-01,2.86,1992,12
1993-12-01,4.38,1993,12
1994-12-01,2.35,1994,12
1995-12-01,2.17,1995,12
1996-12-01,5.51,1996,12
1997-12-01,1.74,1997,12
1998-12-01,1.74,1998,12
1999-12-01,2.49,1999,12
2000-12-01,2.01,2000,12
2001-12-01,1.53,2001,12
2002-12-01,4.45,2002,12
2003-12-01,4.32,2003,12
2004-12-01,3.05,2004,12
2005-12-01,3.34,2005,12
2006-12-01,1.56,2006,12
2007-12-01,3.28,2007,12
2008-12-01,2.97,2008,12
2009-12-01,6.79,2009,12
2010-12-01,1.78,2010,12
2011-12-01,4.9,2011,12
2012-12-01,3.03,2012,12
2013-12-01,5.53,2013,12
2014-12-01,3.5,2014,12
2015-12-01,4.84,2015,12
2016-12-01,2.61,2016,12
2017-12-01,0.5,2017,12
2018-12-01,5.82,2018,12
2019-12-01,3.28,2019,12
2020-12-01,4.96,2020,12
2021-12-01,0.63,2021,12
2022-12-01,3.86,2022,12
2023-12-01,6.43,2023,12
2024-12-01,2.88,2024,12
2025-12-01,1.77,2025,12
