Year,LowestTemp,LowestDate,HighestTemp,HighestDate,Range
1980,12.0,1980-12-25,103.0,1980-07-16,91.0
1981,11.0,1981-01-12,98.0,1981-06-25,87.0
1982,-5.0,1982-01-17,97.0,1982-07-18,102.0
1983,3.0,1983-12-25,101.0,1983-08-20,98.0
1984,3.0,1984-01-22,97.0,1984-06-11,94.0
1985,-4.0,1985-01-21,98.0,1985-08-14,102.0
1986,12.0,1986-01-28,98.0,1986-07-07,86.0
1987,7.0,1987-01-28,100.0,1987-07-21,93.0
1988,10.0,1988-01-07,104.0,1988-07-16,94.0
1989,5.0,1989-12-22,96.0,1989-07-11,91.0
1990,14.0,1990-02-26,100.0,1990-07-05,86.0
1991,17.0,1991-02-16,101.0,1991-07-21,84.0
1992,14.0,1992-01-19,99.0,1992-07-14,85.0
1993,11.0,1993-02-19,100.0,1993-07-08,89.0
1994,-4.0,1994-01-19,101.0,1994-06-15,105.0
1995,7.0,1995-02-06,99.0,1995-07-15,92.0
1996,5.0,1996-02-05,96.0,1996-05-20,91.0
1997,11.0,1997-01-19,105.0,1997-08-17,94.0
1998,18.0,1998-01-01,97.0,1998-07-22,79.0
1999,16.0,1999-01-06,103.0,1999-07-06,87.0
2000,14.0,2000-01-22,94.0,2000-06-11,80.0
2001,20.0,2001-01-03,97.0,2001-08-08,77.0
2002,18.0,2002-12-07,100.0,2002-08-02,82.0
2003,11.0,2003-01-18,94.0,2003-07-05,83.0
2004,8.0,2004-01-10,92.0,2004-05-23,84.0
2005,12.0,2005-01-24,97.0,2005-07-26,85.0
2006,14.0,2006-02-19,101.0,2006-08-03,87.0
2007,10.0,2007-02-06,102.0,2007-08-08,92.0
2008,16.0,2008-02-11,98.0,2008-06-07,82.0
2009,8.0,2009-01-17,97.0,2009-08-10,89.0
2010,16.0,2010-01-03,102.0,2010-07-06,86.0
2011,17.0,2011-01-22,104.0,2011-07-29,87.0
2012,17.0,2012-01-04,105.0,2012-07-07,88.0
2013,15.0,2013-01-23,97.0,2013-07-17,82.0
2014,6.0,2014-01-07,99.0,2014-07-02,93.0
2015,5.0,2015-02-20,98.0,2015-07-19,93.0
2016,13.0,2016-02-14,101.0,2016-08-13,88.0
2017,15.0,2017-01-08,98.0,2017-07-20,83.0
2018,8.0,2018-01-07,98.0,2018-07-16,90.0
2019,10.0,2019-01-31,99.0,2019-07-21,89.0
2020,22.0,2020-02-15,99.0,2020-07-19,77.0
2021,24.0,2021-01-29,97.0,2021-07-26,73.0
2022,9.0,2022-12-24,99.0,2022-06-17,90.0
2023,16.0,2023-02-04,99.0,2023-09-05,83.0
2024,16.0,2024-01-17,104.0,2024-07-16,88.0
2025,15.0,2025-01-22,99.0,2025-06-24,84.0
2026,10.0,2026-01-24,65.0,2026-02-28,55.0
