Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-11-01,42.1,65,14,1872,11
1873-11-01,40.3,63,22,1873,11
1874-11-01,44.9,71,22,1874,11
1875-11-01,41.0,64,16,1875,11
1876-11-01,46.1,76,25,1876,11
1877-11-01,46.7,68,22,1877,11
1878-11-01,46.2,66,28,1878,11
1879-11-01,45.7,80,16,1879,11
1880-11-01,40.6,70,12,1880,11
1881-11-01,47.3,76,21,1881,11
1882-11-01,43.5,79,24,1882,11
1883-11-01,47.8,72,21,1883,11
1884-11-01,45.4,74,24,1884,11
1885-11-01,45.4,71,30,1885,11
1886-11-01,46.2,73,22,1886,11
1887-11-01,45.3,70,23,1887,11
1888-11-01,47.4,75,24,1888,11
1889-11-01,46.2,70,27,1889,11
1890-11-01,47.9,75,24,1890,11
1891-11-01,44.0,68,17,1891,11
1892-11-01,43.7,71,22,1892,11
1893-11-01,43.6,66,21,1893,11
1894-11-01,43.9,68,21,1894,11
1895-11-01,46.4,77,24,1895,11
1896-11-01,50.7,77,26,1896,11
1897-11-01,45.9,76,26,1897,11
1898-11-01,44.0,69,22,1898,11
1899-11-01,45.3,72,24,1899,11
1900-11-01,49.2,79,25,1900,11
1901-11-01,40.6,69,20,1901,11
1902-11-01,51.3,76,28,1902,11
1903-11-01,41.6,73,18,1903,11
1904-11-01,43.1,68,25,1904,11
1905-11-01,44.4,73,20,1905,11
1906-11-01,47.8,75,30,1906,11
1907-11-01,44.5,65,24,1907,11
1908-11-01,46.0,72,19,1908,11
1909-11-01,50.7,77,29,1909,11
1910-11-01,41.4,66,23,1910,11
1911-11-01,42.8,70,22,1911,11
1912-11-01,46.9,77,25,1912,11
1913-11-01,47.8,76,28,1913,11
1914-11-01,45.4,79,20,1914,11
1915-11-01,46.2,77,25,1915,11
1916-11-01,46.3,76,24,1916,11
1917-11-01,42.7,70,20,1917,11
1918-11-01,46.3,72,25,1918,11
1919-11-01,46.9,73,28,1919,11
1920-11-01,45.9,73,19,1920,11
1921-11-01,47.5,80,29,1921,11
1922-11-01,47.9,74,28,1922,11
1923-11-01,45.1,64,28,1923,11
1924-11-01,46.0,76,23,1924,11
1925-11-01,44.3,69,26,1925,11
1926-11-01,45.1,73,24,1926,11
1927-11-01,51.0,74,27,1927,11
1928-11-01,49.4,78,23,1928,11
1929-11-01,47.6,83,11,1929,11
1930-11-01,46.7,71,14,1930,11
1931-11-01,54.0,77,30,1931,11
1932-11-01,44.7,68,18,1932,11
1933-11-01,45.0,75,17,1933,11
1934-11-01,49.6,78,27,1934,11
1935-11-01,50.2,79,24,1935,11
1936-11-01,45.0,79,19,1936,11
1937-11-01,46.6,75,23,1937,11
1938-11-01,49.7,79,14,1938,11
1939-11-01,46.0,72,30,1939,11
1940-11-01,48.2,75,28,1940,11
1941-11-01,50.4,75,28,1941,11
1942-11-01,48.3,79,25,1942,11
1943-11-01,46.7,72,28,1943,11
1944-11-01,47.4,74,27,1944,11
1945-11-01,49.3,78,25,1945,11
1946-11-01,52.0,77,31,1946,11
1947-11-01,46.2,66,25,1947,11
1948-11-01,51.4,78,33,1948,11
