Date,AvgTemp,MaxTemp,MinTemp,Year,Month
1872-02-01,33.8,64,6,1872,2
1873-02-01,34.3,63,1,1873,2
1874-02-01,37.3,78,15,1874,2
1875-02-01,29.0,62,-2,1875,2
1876-02-01,37.0,67,8,1876,2
1877-02-01,40.0,67,20,1877,2
1878-02-01,40.4,67,20,1878,2
1879-02-01,32.1,58,11,1879,2
1880-02-01,40.8,70,14,1880,2
1881-02-01,32.2,64,2,1881,2
1882-02-01,40.7,62,20,1882,2
1883-02-01,38.0,68,21,1883,2
1884-02-01,41.0,70,9,1884,2
1885-02-01,27.0,52,2,1885,2
1886-02-01,33.2,68,-2,1886,2
1887-02-01,39.7,73,19,1887,2
1888-02-01,36.1,61,13,1888,2
1889-02-01,31.1,54,4,1889,2
1890-02-01,43.3,73,24,1890,2
1891-02-01,41.3,74,16,1891,2
1892-02-01,36.8,61,6,1892,2
1893-02-01,35.1,65,11,1893,2
1894-02-01,35.2,60,12,1894,2
1895-02-01,26.3,67,0,1895,2
1896-02-01,36.7,60,8,1896,2
1897-02-01,36.5,63,12,1897,2
1898-02-01,35.0,67,2,1898,2
1899-02-01,27.4,61,-15,1899,2
1900-02-01,33.7,69,6,1900,2
1901-02-01,29.8,57,13,1901,2
1902-02-01,29.8,60,5,1902,2
1903-02-01,37.4,73,3,1903,2
1904-02-01,28.4,63,2,1904,2
1905-02-01,26.4,49,4,1905,2
1906-02-01,34.0,64,7,1906,2
1907-02-01,30.2,58,3,1907,2
1908-02-01,30.8,67,6,1908,2
1909-02-01,42.9,70,17,1909,2
1910-02-01,34.7,68,8,1910,2
1911-02-01,37.0,68,21,1911,2
1912-02-01,31.0,56,7,1912,2
1913-02-01,36.6,68,13,1913,2
1914-02-01,30.1,59,-1,1914,2
1915-02-01,38.8,68,18,1915,2
1916-02-01,34.1,61,6,1916,2
1917-02-01,32.8,66,2,1917,2
1918-02-01,36.8,69,-2,1918,2
1919-02-01,37.2,60,21,1919,2
1920-02-01,32.7,55,9,1920,2
1921-02-01,39.0,73,21,1921,2
1922-02-01,38.7,72,9,1922,2
1923-02-01,32.6,58,11,1923,2
1924-02-01,34.3,59,17,1924,2
1925-02-01,43.0,69,18,1925,2
1926-02-01,36.5,62,15,1926,2
1927-02-01,42.1,71,28,1927,2
1928-02-01,37.6,63,17,1928,2
1929-02-01,35.1,64,17,1929,2
1930-02-01,41.9,84,7,1930,2
1931-02-01,39.4,60,21,1931,2
1932-02-01,42.9,76,22,1932,2
1933-02-01,38.4,68,14,1933,2
1934-02-01,24.6,50,-6,1934,2
1935-02-01,35.4,68,6,1935,2
1936-02-01,29.6,64,3,1936,2
1937-02-01,36.6,64,20,1937,2
1938-02-01,40.9,71,21,1938,2
1939-02-01,42.3,74,17,1939,2
1940-02-01,37.1,64,16,1940,2
1941-02-01,33.9,55,19,1941,2
1942-02-01,34.2,59,12,1942,2
1943-02-01,38.8,71,6,1943,2
1944-02-01,38.1,70,17,1944,2
1945-02-01,38.5,65,16,1945,2
1946-02-01,39.2,72,19,1946,2
1947-02-01,31.5,57,7,1947,2
1948-02-01,36.8,82,12,1948,2
1949-02-01,43.9,77,23,1949,2
1950-02-01,38.6,55,19,1950,2
1951-02-01,38.5,72,11,1951,2
1952-02-01,41.0,60,25,1952,2
1953-02-01,42.6,75,23,1953,2
1954-02-01,43.5,76,19,1954,2
1955-02-01,37.8,67,10,1955,2
1956-02-01,41.1,67,20,1956,2
1957-02-01,41.4,68,24,1957,2
1958-02-01,31.2,62,5,1958,2
1959-02-01,39.0,68,13,1959,2
1960-02-01,38.3,68,20,1960,2
1961-02-01,38.3,70,4,1961,2
1962-02-01,34.6,64,11,1962,2
1963-02-01,31.0,55,9,1963,2
1964-02-01,36.8,64,19,1964,2
1965-02-01,36.8,68,12,1965,2
1966-02-01,36.2,62,10,1966,2
1967-02-01,34.0,71,11,1967,2
1968-02-01,34.3,53,9,1968,2
1969-02-01,36.9,51,19,1969,2
1970-02-01,37.1,63,11,1970,2
1971-02-01,39.0,73,11,1971,2
1972-02-01,36.5,77,14,1972,2
1973-02-01,37.0,63,9,1973,2
1974-02-01,39.2,75,18,1974,2
1975-02-01,40.6,70,18,1975,2
1976-02-01,46.9,79,11,1976,2
1977-02-01,38.8,74,14,1977,2
1978-02-01,31.4,54,18,1978,2
1979-02-01,28.4,56,6,1979,2
1980-02-01,36.1,65,18,1980,2
1981-02-01,43.6,76,16,1981,2
1982-02-01,38.3,68,20,1982,2
1983-02-01,38.7,63,16,1983,2
1984-02-01,43.8,71,19,1984,2
1985-02-01,37.8,78,16,1985,2
1986-02-01,35.3,68,17,1986,2
1987-02-01,37.0,56,16,1987,2
1988-02-01,37.3,70,11,1988,2
1989-02-01,37.8,68,18,1989,2
1990-02-01,45.2,73,14,1990,2
1991-02-01,43.0,72,17,1991,2
1992-02-01,41.2,62,20,1992,2
1993-02-01,34.3,57,11,1993,2
1994-02-01,36.3,68,16,1994,2
1995-02-01,34.3,62,7,1995,2
1996-02-01,37.2,72,5,1996,2
1997-02-01,44.7,77,28,1997,2
1998-02-01,43.4,62,27,1998,2
1999-02-01,40.9,74,20,1999,2
2000-02-01,42.4,76,22,2000,2
2001-02-01,40.9,70,21,2001,2
2002-02-01,42.6,77,21,2002,2
2003-02-01,33.6,54,15,2003,2
2004-02-01,38.1,66,15,2004,2
2005-02-01,39.6,64,20,2005,2
2006-02-01,38.6,66,14,2006,2
2007-02-01,30.9,59,10,2007,2
2008-02-01,41.0,74,16,2008,2
2009-02-01,39.8,72,15,2009,2
2010-02-01,34.2,50,16,2010,2
2011-02-01,41.7,77,19,2011,2
2012-02-01,44.3,72,23,2012,2
2013-02-01,38.3,60,18,2013,2
2014-02-01,37.8,69,14,2014,2
2015-02-01,30.3,68,5,2015,2
2016-02-01,39.9,65,13,2016,2
2017-02-01,47.7,77,23,2017,2
2018-02-01,45.3,82,17,2018,2
2019-02-01,42.2,74,18,2019,2
2020-02-01,43.8,65,22,2020,2
2021-02-01,37.8,60,25,2021,2
2022-02-01,42.6,77,21,2022,2
2023-02-01,46.7,81,16,2023,2
2024-02-01,44.4,68,26,2024,2
2025-02-01,41.0,69,21,2025,2
2026-02-01,36.2,65,14,2026,2
